participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.settled_assets,player.available_assets,player.settled_cash,player.available_cash,group.id_in_subsession,group.ran_ready_function,subsession.round_number,subsession.period_length,subsession.num_assets,subsession.num_states,subsession.asset_endowments,subsession.cash_endowment,subsession.practice,subsession.x,subsession.G,subsession.L,subsession.p1,subsession.p2,subsession.p3,subsession.state,subsession.final_selected_round,subsession.num_rounds,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,5,,1759,"{'A': 4, 'B': 0}","{'A': 3, 'B': 0}",1039,912,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,1,,1170,"{'A': 1, 'B': 4}","{'A': 0, 'B': 4}",910,910,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,7,,1420,"{'A': 1, 'B': 1}","{'A': 1, 'B': 1}",1220,1170,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,2,,1515,"{'A': 2, 'B': 0}","{'A': 2, 'B': 0}",1155,1046,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,4,,1445,"{'A': 3, 'B': 3}","{'A': 3, 'B': 3}",845,845,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,8,,1330,"{'A': 2, 'B': 3}","{'A': 2, 'B': 3}",910,860,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,6,,986,"{'A': 0, 'B': 4}","{'A': 0, 'B': 4}",906,906,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
8,7lt45fmp,leeps_3,0,48,600,salience_market,FinalResults,2022-09-03 02:06:05.093246+00:00,1,,,11374,3,,1575,"{'A': 3, 'B': 1}","{'A': 2, 'B': 1}",1015,895,1,2022-09-03 02:07:50.782389+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,-1,8,dohz8amv,,,,,0
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,2,,1297,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1297,1237,1,2022-09-03 02:12:13.179103+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,8,,1460,"{'A': 1, 'B': 3}","{'A': 1, 'B': 2}",1020,840,1,2022-09-03 02:12:13.179103+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,7,,1405,"{'A': 3, 'B': 2}","{'A': 3, 'B': 1}",925,875,1,2022-09-03 02:12:13.179103+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,3,,1255,"{'A': 2, 'B': 0}","{'A': 2, 'B': 0}",1095,1040,1,2022-09-03 02:12:13.179103+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,1,,1465,"{'A': 3, 'B': 3}","{'A': 2, 'B': 1}",865,675,1,2022-09-03 02:12:13.179103+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,6,,1378,"{'A': 2, 'B': 1}","{'A': 1, 'B': 1}",1098,1038,1,2022-09-03 02:12:13.179103+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,5,,1445,"{'A': 3, 'B': 4}","{'A': 3, 'B': 4}",725,675,1,2022-09-03 02:12:13.179103+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,-1,8,dohz8amv,,,,,0
