participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.settled_assets,player.available_assets,player.settled_cash,player.available_cash,group.id_in_subsession,group.ran_ready_function,subsession.round_number,subsession.period_length,subsession.num_assets,subsession.num_states,subsession.asset_endowments,subsession.cash_endowment,subsession.practice,subsession.x,subsession.G,subsession.L,subsession.p1,subsession.p2,subsession.p3,subsession.state_independent,subsession.state_a,subsession.state_b,subsession.salient_payoff,subsession.final_selected_round,subsession.num_rounds,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,6wf6kvye,leeps_1,0,48,600,salience_market,FinalResults,2022-11-04 02:13:13.215372+00:00,1,,,2691,6,,370,"{'A': 3, 'B': 3}","{'A': 3, 'B': 2}",770,770,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
2,b61298uv,leeps_3,0,48,600,salience_market,FinalResults,2022-11-04 02:13:25.402140+00:00,1,,,3207,2,,385,"{'A': 2, 'B': 1}","{'A': 0, 'B': 1}",1105,595,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
3,hkr4rgc6,leeps_8,0,48,600,salience_market,FinalResults,2022-11-04 02:13:29.507395+00:00,1,,,2806,3,,395,"{'A': 2, 'B': 2}","{'A': 1, 'B': 2}",995,995,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
4,ldtlokf9,leeps_5,0,48,600,salience_market,FinalResults,2022-11-04 02:13:37.012587+00:00,1,,,3100,1,,410,"{'A': 3, 'B': 0}","{'A': 2, 'B': 0}",1170,1098,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
5,qnc9x73a,leeps_7,0,48,600,salience_market,FinalResults,2022-11-04 02:13:39.188508+00:00,1,,,3172,8,,380,"{'A': 2, 'B': 0}","{'A': 2, 'B': 0}",1220,1060,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
6,bz0vbobq,leeps_2,0,48,600,salience_market,FinalResults,2022-11-04 02:13:43.027929+00:00,1,,,3092,7,,400,"{'A': 2, 'B': 3}","{'A': 2, 'B': 3}",880,760,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
7,jzpxh7ww,leeps_6,0,48,600,salience_market,FinalResults,2022-11-04 02:13:58.719048+00:00,1,,,3419,4,,500,"{'A': 0, 'B': 2}","{'A': 0, 'B': 2}",1260,1240,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
8,zfa5wrck,leeps_4,0,48,600,salience_market,FinalResults,2022-11-04 02:13:59.517745+00:00,1,,,2513,5,,360,"{'A': 2, 'B': 5}","{'A': 2, 'B': 5}",600,395,1,2022-11-04 02:14:25.040682+00:00,1,240,2,2,2 2,1000,1,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
1,6wf6kvye,leeps_1,0,48,600,salience_market,FinalResults,2022-11-04 02:13:13.215372+00:00,1,,,2691,4,,-85,"{'A': 3, 'B': 5}","{'A': 3, 'B': 5}",575,575,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
2,b61298uv,leeps_3,0,48,600,salience_market,FinalResults,2022-11-04 02:13:25.402140+00:00,1,,,3207,2,,230,"{'A': 2, 'B': 2}","{'A': 0, 'B': 0}",1030,510,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
3,hkr4rgc6,leeps_8,0,48,600,salience_market,FinalResults,2022-11-04 02:13:29.507395+00:00,1,,,2806,8,,109,"{'A': 2, 'B': 3}","{'A': 2, 'B': 2}",889,889,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
4,ldtlokf9,leeps_5,0,48,600,salience_market,FinalResults,2022-11-04 02:13:37.012587+00:00,1,,,3100,5,,200,"{'A': 2, 'B': 2}","{'A': 1, 'B': 0}",1000,816,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
5,qnc9x73a,leeps_7,0,48,600,salience_market,FinalResults,2022-11-04 02:13:39.188508+00:00,1,,,3172,6,,325,"{'A': 3, 'B': 0}","{'A': 3, 'B': 0}",1085,895,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
6,bz0vbobq,leeps_2,0,48,600,salience_market,FinalResults,2022-11-04 02:13:43.027929+00:00,1,,,3092,3,,252,"{'A': 3, 'B': 1}","{'A': 3, 'B': 1}",992,992,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
7,jzpxh7ww,leeps_6,0,48,600,salience_market,FinalResults,2022-11-04 02:13:58.719048+00:00,1,,,3419,7,,409,"{'A': 1, 'B': 0}","{'A': 0, 'B': 0}",1329,1329,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
8,zfa5wrck,leeps_4,0,48,600,salience_market,FinalResults,2022-11-04 02:13:59.517745+00:00,1,,,2513,1,,160,"{'A': 0, 'B': 3}","{'A': 0, 'B': 2}",1100,888,1,2022-11-04 02:18:48.352129+00:00,2,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
1,6wf6kvye,leeps_1,0,48,600,salience_market,FinalResults,2022-11-04 02:13:13.215372+00:00,1,,,2691,8,,120,"{'A': 2, 'B': 3}","{'A': 2, 'B': 3}",900,900,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
2,b61298uv,leeps_3,0,48,600,salience_market,FinalResults,2022-11-04 02:13:25.402140+00:00,1,,,3207,4,,322,"{'A': 0, 'B': 1}","{'A': 0, 'B': 1}",1302,1242,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
3,hkr4rgc6,leeps_8,0,48,600,salience_market,FinalResults,2022-11-04 02:13:29.507395+00:00,1,,,2806,5,,121,"{'A': 2, 'B': 3}","{'A': 1, 'B': 3}",901,806,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
4,ldtlokf9,leeps_5,0,48,600,salience_market,FinalResults,2022-11-04 02:13:37.012587+00:00,1,,,3100,7,,330,"{'A': 1, 'B': 1}","{'A': 0, 'B': 0}",1230,985,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
5,qnc9x73a,leeps_7,0,48,600,salience_market,FinalResults,2022-11-04 02:13:39.188508+00:00,1,,,3172,1,,300,"{'A': 4, 'B': 0}","{'A': 4, 'B': 0}",980,980,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
6,bz0vbobq,leeps_2,0,48,600,salience_market,FinalResults,2022-11-04 02:13:43.027929+00:00,1,,,3092,2,,140,"{'A': 4, 'B': 2}","{'A': 4, 'B': 2}",780,780,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
7,jzpxh7ww,leeps_6,0,48,600,salience_market,FinalResults,2022-11-04 02:13:58.719048+00:00,1,,,3419,6,,393,"{'A': 1, 'B': 0}","{'A': 1, 'B': 0}",1313,1257,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
8,zfa5wrck,leeps_4,0,48,600,salience_market,FinalResults,2022-11-04 02:13:59.517745+00:00,1,,,2513,3,,-126,"{'A': 2, 'B': 6}","{'A': 1, 'B': 6}",594,110,1,2022-11-04 02:23:11.301804+00:00,3,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,1,0,-1,8,dn9wupui,,,,,0
1,6wf6kvye,leeps_1,0,48,600,salience_market,FinalResults,2022-11-04 02:13:13.215372+00:00,1,,,2691,5,,430,"{'A': 2, 'B': 4}","{'A': 2, 'B': 4}",790,704,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
2,b61298uv,leeps_3,0,48,600,salience_market,FinalResults,2022-11-04 02:13:25.402140+00:00,1,,,3207,6,,433,"{'A': 2, 'B': 4}","{'A': 1, 'B': 3}",793,448,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
3,hkr4rgc6,leeps_8,0,48,600,salience_market,FinalResults,2022-11-04 02:13:29.507395+00:00,1,,,2806,2,,370,"{'A': 3, 'B': 2}","{'A': 3, 'B': 1}",890,890,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
4,ldtlokf9,leeps_5,0,48,600,salience_market,FinalResults,2022-11-04 02:13:37.012587+00:00,1,,,3100,4,,380,"{'A': 2, 'B': 1}","{'A': 0, 'B': 0}",1100,835,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
5,qnc9x73a,leeps_7,0,48,600,salience_market,FinalResults,2022-11-04 02:13:39.188508+00:00,1,,,3172,8,,382,"{'A': 2, 'B': 1}","{'A': 2, 'B': 1}",1102,1102,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
6,bz0vbobq,leeps_2,0,48,600,salience_market,FinalResults,2022-11-04 02:13:43.027929+00:00,1,,,3092,3,,375,"{'A': 3, 'B': 3}","{'A': 3, 'B': 3}",775,775,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
7,jzpxh7ww,leeps_6,0,48,600,salience_market,FinalResults,2022-11-04 02:13:58.719048+00:00,1,,,3419,1,,420,"{'A': 1, 'B': 0}","{'A': 0, 'B': 0}",1340,849,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
8,zfa5wrck,leeps_4,0,48,600,salience_market,FinalResults,2022-11-04 02:13:59.517745+00:00,1,,,2513,7,,410,"{'A': 1, 'B': 1}","{'A': 0, 'B': 1}",1210,1012,1,2022-11-04 02:27:34.081904+00:00,4,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
1,6wf6kvye,leeps_1,0,48,600,salience_market,FinalResults,2022-11-04 02:13:13.215372+00:00,1,,,2691,7,,411,"{'A': 2, 'B': 3}","{'A': 2, 'B': 3}",891,785,1,2022-11-04 02:31:57.217435+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
2,b61298uv,leeps_3,0,48,600,salience_market,FinalResults,2022-11-04 02:13:25.402140+00:00,1,,,3207,3,,358,"{'A': 4, 'B': 5}","{'A': 2, 'B': 3}",438,233,1,2022-11-04 02:31:57.217435+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
3,hkr4rgc6,leeps_8,0,48,600,salience_market,FinalResults,2022-11-04 02:13:29.507395+00:00,1,,,2806,4,,377,"{'A': 3, 'B': 2}","{'A': 3, 'B': 2}",897,897,1,2022-11-04 02:31:57.217435+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
4,ldtlokf9,leeps_5,0,48,600,salience_market,FinalResults,2022-11-04 02:13:37.012587+00:00,1,,,3100,8,,417,"{'A': 1, 'B': 0}","{'A': 0, 'B': 0}",1337,1064,1,2022-11-04 02:31:57.217435+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
5,qnc9x73a,leeps_7,0,48,600,salience_market,FinalResults,2022-11-04 02:13:39.188508+00:00,1,,,3172,1,,413,"{'A': 1, 'B': 1}","{'A': 1, 'B': 1}",1213,1213,1,2022-11-04 02:31:57.217435+00:00,5,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,1,3,3,0,-1,8,dn9wupui,,,,,0
